Dia,Curta,Media,Longa
12/06/2025,3.2,87.0,373.9
13/06/2025,2.5,39.7,364.1
14/06/2025,6.3,11.7,0.0
15/06/2025,10.5,4.4,0.0
16/06/2025,2.1,43.5,169.4
18/06/2025,0.7,24.5,127.1
19/06/2025,0.3,0.0,0.0
20/06/2025,0.1,0.0,0.0
22/06/2025,0.0,0.0,0.0
23/06/2025,3.2,67.5,254.4
24/06/2025,6.7,62.4,386.2
25/06/2025,0.0,0.0,0.0
26/06/2025,2.5,55.5,203.6
27/06/2025,1.5,42.9,181.2
30/06/2025,1.1,33.1,257.4
01/07/2025,2.4,41.9,339.5
02/07/2025,9.8,68.0,142.2
03/07/2025,2.6,65.2,0.0
04/07/2025,5.1,106.4,0.0
06/07/2025,0.0,0.0,74.1
07/07/2025,0.5,89.8,0.0
